Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
,                                                   ,           ,                ,           ,9.69,3.52,0.53,0.42, rse-server-13,
,                                                   ,           ,                ,           ,30.58,5.48,3.55,2.77, rse-server-14,
,                                                   ,           ,                ,           ,22.06,0,2.84,6.7, rse-server-12,
,                                                   ,           ,                ,           ,13.64,0,1.39,0, rse-server-15,
8/31/2018 10:22,        data\61883_forwardedatbadirqlallocate_1.bpl,     86.88s,       4 clients,         RB,47.92,57.86,4.26,11.03,,
,                                                   ,           ,                ,           ,9.83,2.98,0.7,0.44, rse-server-13,
,                                                   ,           ,                ,           ,19.67,49.53,1.89,4.98, rse-server-14,
,                                                   ,           ,                ,           ,5.08,5.31,0.28,5.61, rse-server-12,
,                                                   ,           ,                ,           ,13.34,0.03,1.39,0, rse-server-15,
8/31/2018 10:25,        data\61883_forwardedatbadirqlallocate_1.bpl,     37.66s,       4 clients,         RB,53.2,17.61,4.92,22.12,,
,                                                   ,           ,                ,           ,13.22,5.17,1.03,4.77, rse-server-13,
,                                                   ,           ,                ,           ,12.74,6.09,0.7,9.11, rse-server-14,
,                                                   ,           ,                ,           ,11.02,5.28,1.56,4.05, rse-server-12,
,                                                   ,           ,                ,           ,16.22,1.06,1.63,4.19, rse-server-15,
8/31/2018 10:33,        data\61883_forwardedatbadirqlallocate_1.bpl,     53.47s,       4 clients,         RB,73.76,13.89,8.06,34.43,,
,                                                   ,           ,                ,           ,21.55,0,1.53,13.84, rse-server-13,
,                                                   ,           ,                ,           ,13.81,8.16,1.58,4.17, rse-server-14,
,                                                   ,           ,                ,           ,14.59,5.73,1.61,9.09, rse-server-12,
,                                                   ,           ,                ,           ,23.81,0,3.34,7.33, rse-server-15,
8/31/2018 10:58,        data\61883_forwardedatbadirqlallocate_1.bpl,     53.45s,       4 clients,         RB,80.15,0.83,6.08,50.39,,
,                                                   ,           ,                ,           ,19.88,0,1.55,9.59, rse-server-13,
,                                                   ,           ,                ,           ,14.77,0,0.95,15.91, rse-server-14,
,                                                   ,           ,                ,           ,21.14,0,2.05,11.28, rse-server-12,
,                                                   ,           ,                ,           ,24.36,0.83,1.53,13.61, rse-server-15,
8/31/2018 11:09,        data\61883_forwardedatbadirqlallocate_1.bpl,     44.50s,       4 clients,         RB,60.27,16.56,4.42,38.55,,
,                                                   ,           ,                ,           ,15.41,4.13,0.72,10.52, rse-server-13,
,                                                   ,           ,                ,           ,16.78,4.88,1.64,10.36, rse-server-14,
,                                                   ,           ,                ,           ,10.81,5.06,0.42,13.95, rse-server-12,
,                                                   ,           ,                ,           ,17.27,2.5,1.64,3.72, rse-server-15,
8/31/2018 11:40,        data\61883_forwardedatbadirqlallocate_1.bpl,    178.63s,       4 clients,         RB,271.46,214.08,47.99,97.17,,
,                                                   ,           ,                ,           ,63.99,64.24,6.23,26.66, rse-server-13,
,                                                   ,           ,                ,           ,45.49,71.65,7.52,37.35, rse-server-14,
,                                                   ,           ,                ,           ,65.32,69.63,12.66,10.55, rse-server-12,
,                                                   ,           ,                ,           ,96.66,8.56,21.58,22.61, rse-server-15,
8/31/2018 11:48,        data\61883_forwardedatbadirqlallocate_1.bpl,    133.85s,       4 clients,         RB,266.12,83.41,21.15,85.01,,
,                                                   ,           ,                ,           ,81.85,18.77,6.72,6.47, rse-server-13,
,                                                   ,           ,                ,           ,64.66,23.88,5.55,18.5, rse-server-14,
,                                                   ,           ,                ,           ,54.71,25.22,4.91,29.8, rse-server-12,
,                                                   ,           ,                ,           ,64.9,15.55,3.97,30.24, rse-server-15,
